iter	Passed	Remaining
399	43042	10760
400	43111	10643
401	43215	10535
402	43312	10424
403	43419	10317
404	43539	10213
405	43647	10105
406	43741	9994
407	43852	9888
408	43972	9783
409	44086	9677
410	44132	9556
411	44244	9450
412	44348	9342
413	44466	9237
414	44565	9127
415	44673	9020
416	44770	8911
417	44881	8804
418	44987	8696
419	45100	8590
420	45210	8483
421	45315	8375
422	45418	8267
423	45517	8158
424	45619	8050
425	45729	7943
426	45832	7835
427	45950	7729
428	46072	7625
429	46171	7516
430	46309	7413
431	46422	7307
432	46519	7198
433	46619	7089
434	46711	6979
435	46825	6873
436	46943	6767
437	47057	6661
438	47163	6553
439	47267	6445
440	47382	6339
441	47489	6231
442	47593	6123
443	47693	6015
444	47796	5907
445	47909	5800
446	48018	5693
447	48109	5584
448	48223	5477
449	48328	5369
450	48430	5261
451	48525	5153
452	48630	5045
453	48730	4937
454	48831	4829
455	48933	4721
456	49049	4615
457	49172	4509
458	49264	4400
459	49388	4294
460	49491	4186
461	49582	4078
462	49703	3971
463	49816	3865
464	49914	3757
465	50021	3649
466	50120	3541
467	50240	3435
468	50354	3328
469	50448	3220
470	50557	3112
471	50661	3005
472	50775	2898
473	50889	2791
474	50990	2683
475	51089	2575
476	51183	2467
477	51296	2360
478	51419	2254
479	51514	2146
480	51621	2039
481	51718	1931
482	51831	1824
483	51960	1717
484	52046	1609
485	52187	1503
486	52293	1395
487	52394	1288
488	52514	1181
489	52619	1073
490	52718	966
491	52825	858
492	52932	751
493	53037	644
494	53158	536
495	53271	429
496	53377	322
497	53472	214
498	53573	107
499	53681	0
