iter	Logloss
112	0.5982319854
113	0.5980868905
114	0.5979620926
115	0.5978461809
116	0.597693382
117	0.5975675112
118	0.5974763874
119	0.5973609254
120	0.5972393245
121	0.5971616263
122	0.5970437977
123	0.596958302
124	0.5968720731
125	0.5967249487
126	0.5965881876
127	0.5964785071
128	0.5963885731
129	0.5962365763
130	0.5961234637
131	0.5960302156
132	0.5959334918
133	0.595868008
134	0.5957626139
135	0.5956277391
136	0.595489626
137	0.5953459226
138	0.5952432334
139	0.5951628407
140	0.5950558294
141	0.5949249603
142	0.5948397681
143	0.5947458138
144	0.594645349
145	0.5945519458
146	0.5944684689
147	0.5943520405
148	0.5943390623
149	0.5942448392
150	0.5942030891
151	0.5941292106
152	0.5940378992
153	0.5939630738
154	0.5939109446
155	0.5937940382
156	0.5937199621
157	0.5936402785
158	0.5935790764
159	0.5935012094
160	0.5933747084
161	0.5932650775
162	0.5931544263
163	0.5930838775
164	0.5930255735
165	0.5929734939
166	0.5928350704
167	0.5927385296
168	0.5926477434
169	0.5926016304
170	0.5925211767
171	0.5924519315
172	0.5924009522
173	0.592327919
174	0.5922496294
175	0.5921791123
176	0.5921060828
177	0.5919822728
178	0.5919331545
179	0.5918248336
180	0.5917570419
181	0.5916631921
182	0.5915921484
183	0.5915430482
184	0.5914788407
185	0.591415943
186	0.5913642185
187	0.5912861529
188	0.5912168478
189	0.5911745013
190	0.5910686249
191	0.591002111
192	0.5908807191
193	0.5907509425
194	0.5906398498
195	0.5905832229
196	0.5905210015
197	0.5904516653
198	0.5904030312
199	0.5903331572
200	0.5902662564
201	0.5902370011
202	0.5901978622
203	0.5901559466
204	0.5901131518
205	0.5900367674
206	0.5899991045
207	0.5899615448
208	0.5898525337
209	0.5898167516
210	0.5897750712
211	0.5897356991
212	0.5897236288
213	0.58964858
214	0.5896159101
215	0.5895209906
216	0.5894382187
217	0.5893725093
218	0.5893273124
219	0.5893159767
220	0.5893023804
221	0.589258586
222	0.5892175466
223	0.5891589271
224	0.5891214869
225	0.5891029229
226	0.589025684
227	0.5889803314
228	0.5889574365
229	0.5889504609
230	0.5889135864
231	0.5888236787
232	0.5887843268
233	0.5887252772
234	0.588681153
235	0.588639237
236	0.5885920099
237	0.5885528747
238	0.5885085321
239	0.5884576729
240	0.5883856846
241	0.588356177
242	0.5883038601
243	0.5882347499
244	0.5881626981
245	0.5881199053
246	0.5880676086
247	0.5880430396
248	0.5879925857
249	0.5879762814
250	0.5879439086
251	0.5878736592
252	0.587793773
253	0.5877385276
254	0.5876781307
255	0.5876328175
256	0.5876125185
257	0.5875899012
258	0.5875389356
259	0.5874958731
260	0.5874456326
261	0.5873856699
262	0.5873552339
263	0.587275551
264	0.5872513134
265	0.5871933938
266	0.5871578209
267	0.5871170579
268	0.5870577414
269	0.5870026895
270	0.5869904521
271	0.5869749319
272	0.5869119249
273	0.5869079253
274	0.5868713558
275	0.5868579279
276	0.5868336046
277	0.5867991099
278	0.5867639592
279	0.5867436369
280	0.5867070376
281	0.5866585919
282	0.5866240952
283	0.5865853882
284	0.5865658091
285	0.5865266612
286	0.5864998029
287	0.5864486028
288	0.586372934
289	0.586360193
290	0.5863431495
291	0.5863212853
292	0.5863072385
293	0.5862633594
294	0.5862212647
295	0.5861814182
296	0.5861496961
297	0.5861205989
298	0.5860793823
299	0.586053544
300	0.5860253323
301	0.5859834893
302	0.5859472163
303	0.5859302121
304	0.5858799543
305	0.5858566942
306	0.5858475933
307	0.5857992036
308	0.5857918482
309	0.5857377939
310	0.5857134051
311	0.5856822667
312	0.585652836
313	0.5856198626
314	0.5856091328
315	0.5856052412
316	0.5855561872
317	0.5855091449
318	0.5854748763
319	0.5854617802
320	0.58544631
321	0.5854144397
322	0.5853824922
323	0.5853526402
324	0.5853314687
325	0.5853066443
326	0.5852799131
327	0.5852117687
328	0.5851845375
329	0.5851253414
330	0.5850911355
331	0.5850752437
332	0.5850474718
333	0.5850301845
334	0.5849987781
335	0.584977743
336	0.5849731169
337	0.5849412782
338	0.5849136562
339	0.5848790543
340	0.5848350729
341	0.5848038406
342	0.5847439801
343	0.5847040777
344	0.5846664395
345	0.5846409286
346	0.5846248681
347	0.5845945612
348	0.5845705999
349	0.5845474894
350	0.5845170646
351	0.5844868645
352	0.5844267725
353	0.5843931749
354	0.5843455428
355	0.5843244153
356	0.5842874824
357	0.5842617917
358	0.5842196063
359	0.5842033857
360	0.5841779786
361	0.5841425788
362	0.5841232274
363	0.5840760907
364	0.5840396036
365	0.5840248434
366	0.5839870952
367	0.583967216
368	0.583931082
369	0.5839224686
370	0.5838753622
371	0.5838334524
372	0.5838163974
373	0.5837734153
374	0.5836927445
375	0.583666612
376	0.5836306553
377	0.5835729653
378	0.5835492539
379	0.5835078423
380	0.583480502
381	0.5833799571
382	0.5833457184
383	0.5832900176
384	0.5832707096
385	0.5832539606
386	0.5832398293
387	0.5831495306
388	0.5831158622
389	0.5830819996
390	0.5830400452
391	0.5830125116
392	0.5829677148
393	0.5829269493
394	0.5828504378
395	0.5828027361
396	0.5827742961
397	0.5827312595
398	0.5826959098
399	0.5826484136
400	0.5826439665
401	0.5826152998
402	0.5825905359
403	0.5825547441
404	0.5825252076
405	0.5824889643
406	0.5824006657
407	0.5823784679
408	0.5822947158
409	0.5822659804
410	0.5822603135
411	0.5822396052
412	0.5821974643
413	0.5821799779
414	0.5821247114
415	0.5820711213
416	0.5819821503
417	0.5819595837
418	0.5818778697
419	0.5818408238
420	0.581796023
421	0.5817840297
422	0.5817403685
423	0.5817153918
424	0.5816481198
425	0.5816274643
426	0.5816038602
427	0.5815845744
428	0.5815371944
429	0.5814974498
430	0.5814371298
431	0.5813393525
432	0.5813119369
433	0.5812714508
434	0.5812376032
435	0.5811950507
436	0.5811672237
437	0.5811387952
438	0.5811095899
439	0.5810846757
440	0.5810379643
441	0.5810092718
442	0.5809514934
443	0.5809194687
444	0.5808833245
445	0.5808481646
446	0.5808126933
447	0.5807702071
448	0.5807324355
449	0.5806885175
450	0.5806549516
451	0.5805730041
452	0.5805059492
453	0.5804590189
454	0.5803686113
455	0.580322206
456	0.5802836512
457	0.5802437103
458	0.580207447
459	0.5801769553
460	0.5800920699
461	0.5800011814
462	0.5799420955
463	0.5798831049
464	0.5797983932
465	0.5797590959
466	0.5796803842
467	0.579639934
468	0.5796093313
469	0.5795159532
470	0.5794622196
471	0.5793908699
472	0.5793591067
473	0.5793304045
474	0.5792413752
475	0.5791595586
476	0.5791076455
477	0.5790656523
478	0.5790271434
479	0.578966833
480	0.5788844699
481	0.5788360972
482	0.5787822189
483	0.578737403
484	0.5787000261
485	0.5786444926
486	0.5785952998
487	0.5785555101
488	0.5785262833
489	0.578481706
490	0.5784156028
491	0.5783709296
492	0.5783392786
493	0.5782918564
494	0.5782526885
495	0.5782068031
496	0.5781725412
497	0.5780921572
498	0.5780565121
499	0.5780128768
